"","V1"
"1","FBgn0033640"
"2","FBgn0034906"
"3","FBgn0035011"
"4","FBgn0035012"
"5","FBgn0035068"
"6","FBgn0039621"
"7","FBgn0053453"
"8","FBgn0053454"
"9","FBgn0053463"
"10","FBgn0053483"
"11","FBgn0053632"
"12","FBgn0053648"
"13","FBgn0053654"
"14","FBgn0053658"
"15","FBgn0053679"
"16","FBgn0053687"
"17","FBgn0053688"
"18","FBgn0053689"
"19","FBgn0053690"
"20","FBgn0053700"
"21","FBgn0053702"
"22","FBgn0053703"
"23","FBgn0053721"
"24","FBgn0053723"
"25","FBgn0053725"
"26","FBgn0053752"
"27","FBgn0053757"
"28","FBgn0053758"
"29","FBgn0053764"
"30","FBgn0053773"
"31","FBgn0053775"
"32","FBgn0053777"
"33","FBgn0053783"
"34","FBgn0053784"
"35","FBgn0053795"
"36","FBgn0053796"
"37","FBgn0053798"
"38","FBgn0053912"
"39","FBgn0053914"
"40","FBgn0053920"
"41","FBgn0053922"
"42","FBgn0053923"
"43","FBgn0053927"
"44","FBgn0053928"
"45","FBgn0085332"
"46","FBgn0028866"
"47","FBgn0031058"
"48","FBgn0032549"
"49","FBgn0032551"
"50","FBgn0034221"
"51","FBgn0036858"
"52","FBgn0050082"
"53","FBgn0050083"
"54","FBgn0050087"
"55","FBgn0050088"
"56","FBgn0050090"
"57","FBgn0050091"
"58","FBgn0050098"
"59","FBgn0050187"
"60","FBgn0050286"
"61","FBgn0050287"
"62","FBgn0050288"
"63","FBgn0050289"
"64","FBgn0050414"
"65","FBgn0053225"
"66","FBgn0053458"
"67","FBgn0053459"
"68","FBgn0053460"
"69","FBgn0053461"
"70","FBgn0053462"
"71","FBgn0053465"
"72","FBgn0069056"
"73","FBgn0085465"
"74","FBgn0085466"
"75","FBgn0260477"
"76","FBgn0261584"
"77","FBgn0262570"
"78","FBgn0262587"
"79","FBgn0262588"
"80","FBgn0263040"
"81","FBgn0263041"
"82","FBgn0263999"
"83","FBgn0001285"
"84","FBgn0003356"
"85","FBgn0003357"
"86","FBgn0003358"
"87","FBgn0020906"
"88","FBgn0023197"
"89","FBgn0031653"
"90","FBgn0031654"
"91","FBgn0035661"
"92","FBgn0035663"
"93","FBgn0035665"
"94","FBgn0035666"
"95","FBgn0035667"
"96","FBgn0035669"
"97","FBgn0035670"
"98","FBgn0035678"
"99","FBgn0035886"
"100","FBgn0035887"
"101","FBgn0036015"
"102","FBgn0036022"
"103","FBgn0036023"
"104","FBgn0036024"
"105","FBgn0036264"
"106","FBgn0036738"
"107","FBgn0039777"
"108","FBgn0039778"
"109","FBgn0040060"
"110","FBgn0052382"
"111","FBgn0052383"
"112","FBgn0250815"
"113","FBgn0026190"
"114","FBgn0036793"
"115","FBgn0036795"
"116","FBgn0036796"
"117","FBgn0039616"
"118","FBgn0039779"
"119","FBgn0039780"
"120","FBgn0039782"
"121","FBgn0039783"
"122","FBgn0039784"
"123","FBgn0040528"
"124","FBgn0042182"
"125","FBgn0051013"
"126","FBgn0051014"
"127","FBgn0051015"
"128","FBgn0051016"
"129","FBgn0051017"
"130","FBgn0051021"
"131","FBgn0051371"
"132","FBgn0051524"
"133","FBgn0052199"
"134","FBgn0052201"
"135","FBgn0054041"
"136","FBgn0085374"
"137","FBgn0265268"
"138","FBgn0031181"
"139","FBgn0033648"
"140","FBgn0033651"
"141","FBgn0034023"
"142","FBgn0034272"
"143","FBgn0034456"
"144","FBgn0034457"
"145","FBgn0034458"
"146","FBgn0035019"
"147","FBgn0036010"
"148","FBgn0036083"
"149","FBgn0039079"
"150","FBgn0039080"
"151","FBgn0050081"
"152","FBgn0050464"
"153","FBgn0050468"
"154","FBgn0050469"
"155","FBgn0051225"
"156","FBgn0052058"
"157","FBgn0053971"
"158","FBgn0259185"
"159","FBgn0259187"
"160","FBgn0259193"
"161","FBgn0259194"
"162","FBgn0015010"
"163","FBgn0020508"
"164","FBgn0030562"
"165","FBgn0032853"
"166","FBgn0034623"
"167","FBgn0034624"
"168","FBgn0035042"
"169","FBgn0036070"
"170","FBgn0036072"
"171","FBgn0037879"
"172","FBgn0037888"
"173","FBgn0037889"
"174","FBgn0050486"
"175","FBgn0050488"
"176","FBgn0051296"
"177","FBgn0052679"
"178","FBgn0054002"
"179","FBgn0250842"
"180","FBgn0260766"
"181","FBgn0261848"
"182","FBgn0264297"
"183","FBgn0264298"
"184","FBgn0264299"
"185","FBgn0037224"
"186","FBgn0037225"
"187","FBgn0037227"
"188","FBgn0038487"
"189","FBgn0039434"
"190","FBgn0039435"
"191","FBgn0039436"
"192","FBgn0039437"
"193","FBgn0039438"
"194","FBgn0039439"
"195","FBgn0039440"
"196","FBgn0039441"
"197","FBgn0039443"
"198","FBgn0039444"
"199","FBgn0039448"
"200","FBgn0051080"
"201","FBgn0051081"
"202","FBgn0052569"
"203","FBgn0052570"
"204","FBgn0052571"
"205","FBgn0052574"
"206","FBgn0085334"
"207","FBgn0243586"
"208","FBgn0003863"
"209","FBgn0010357"
"210","FBgn0010358"
"211","FBgn0010359"
"212","FBgn0010425"
"213","FBgn0011555"
"214","FBgn0011832"
"215","FBgn0015001"
"216","FBgn0019928"
"217","FBgn0031406"
"218","FBgn0034507"
"219","FBgn0034518"
"220","FBgn0034807"
"221","FBgn0042186"
"222","FBgn0042187"
"223","FBgn0050025"
"224","FBgn0050031"
"225","FBgn0052833"
"226","FBgn0052834"
"227","FBgn0250841"
"228","FBgn0259998"
"229","FBgn0264253"
"230","FBgn0002930"
"231","FBgn0015586"
