"","V1"
"1","TC000071"
"2","TC000073"
"3","TC001405"
"4","TC001491"
"5","TC001641"
"6","TC001792"
"7","TC001844"
"8","TC001912"
"9","TC002008"
"10","TC002101"
"11","TC002186"
"12","TC002266"
"13","TC002321"
"14","TC002639"
"15","TC002641"
"16","TC002946"
"17","TC003324"
"18","TC004090"
"19","TC004186"
"20","TC004199"
"21","TC004268"
"22","TC004353"
"23","TC005045"
"24","TC005079"
"25","TC005299"
"26","TC006847"
"27","TC006889"
"28","TC006944"
"29","TC006946"
"30","TC006955"
"31","TC006965"
"32","TC006998"
"33","TC008492"
"34","TC008582"
"35","TC009399"
"36","TC010206"
"37","TC010224"
"38","TC010553"
"39","TC010707"
"40","TC010720"
"41","TC010738"
"42","TC011488"
"43","TC011489"
"44","TC011572"
"45","TC012949"
"46","TC012951"
"47","TC012952"
"48","TC015149"
"49","TC015862"
"50","TC015961"
"51","TC015998"
"52","TC016075"
"53","TC016078"
"54","TC016130"
"55","TC016131"
"56","TC016174"
"57","TC016178"
"58","TC016404"
"59","TC030925"
"60","TC030953"
"61","TC030968"
"62","TC030970"
"63","TC031121"
"64","TC031172"
"65","TC031567"
"66","TC031587"
"67","TC031623"
"68","TC031664"
"69","TC031670"
"70","TC031710"
"71","TC031727"
"72","TC031778"
"73","TC031841"
"74","TC031860"
"75","TC031934"
"76","TC031970"
"77","TC032275"
"78","TC032556"
"79","TC032615"
"80","TC032668"
"81","TC032775"
"82","TC032776"
"83","TC032951"
"84","TC033503"
"85","TC033506"
"86","TC033563"
"87","TC033879"
"88","TC033891"
"89","TC033893"
"90","TC034100"
"91","TC034292"
"92","TC034535"
"93","TC035018"
"94","TC001483"
"95","TC001646"
"96","TC002025"
"97","TC002039"
"98","TC002169"
"99","TC002170"
"100","TC002236"
"101","TC002316"
"102","TC003603"
"103","TC003833"
"104","TC004208"
"105","TC004352"
"106","TC005017"
"107","TC005142"
"108","TC005295"
"109","TC006964"
"110","TC008529"
"111","TC010220"
"112","TC010288"
"113","TC010305"
"114","TC010392"
"115","TC010624"
"116","TC011500"
"117","TC012981"
"118","TC015850"
"119","TC015963"
"120","TC016413"
"121","TC030946"
"122","TC030958"
"123","TC030973"
"124","TC031008"
"125","TC031018"
"126","TC031255"
"127","TC031258"
"128","TC031259"
"129","TC031736"
"130","TC031861"
"131","TC031881"
"132","TC031886"
"133","TC031937"
"134","TC032274"
"135","TC033297"
"136","TC033480"
"137","TC033486"
"138","TC034540"
"139","TC034749"
"140","TC034815"
"141","TC034922"
"142","TC034945"
"143","TC034978"
"144","TC035003"
"145","TC035031"
"146","TC035039"
"147","TC001509"
"148","TC001892"
"149","TC001905"
"150","TC002013"
"151","TC002017"
"152","TC004286"
"153","TC005013"
"154","TC005297"
"155","TC008558"
"156","TC008571"
"157","TC010097"
"158","TC010276"
"159","TC011274"
"160","TC011498"
"161","TC011554"
"162","TC011581"
"163","TC012926"
"164","TC012927"
"165","TC012961"
"166","TC012965"
"167","TC014847"
"168","TC030930"
"169","TC030937"
"170","TC030939"
"171","TC030955"
"172","TC031167"
"173","TC031352"
"174","TC031602"
"175","TC031661"
"176","TC031662"
"177","TC031685"
"178","TC031701"
"179","TC031704"
"180","TC031729"
"181","TC031763"
"182","TC031830"
"183","TC031842"
"184","TC031845"
"185","TC031854"
"186","TC031855"
"187","TC031979"
"188","TC032967"
"189","TC033279"
"190","TC033489"
"191","TC033490"
"192","TC033921"
"193","TC034202"
"194","TC034203"
"195","TC034204"
"196","TC034914"
"197","TC034934"
"198","TC035009"
"199","TC035036"
"200","TC010739"
"201","TC030129"
"202","TC030130"
"203","TC030131"
"204","TC030132"
"205","TC030133"
"206","TC030135"
"207","TC030136"
"208","TC030137"
"209","TC030138"
"210","TC030139"
"211","TC030140"
"212","TC030141"
"213","TC030142"
"214","TC030143"
"215","TC030144"
"216","TC030145"
"217","TC030146"
"218","TC030147"
"219","TC030148"
"220","TC030149"
"221","TC030150"
"222","TC030155"
"223","TC030156"
"224","TC030157"
"225","TC030158"
"226","TC030159"
"227","TC030160"
"228","TC030162"
"229","TC030163"
"230","TC030164"
"231","TC030166"
"232","TC030167"
"233","TC030168"
"234","TC030170"
"235","TC030171"
"236","TC030172"
"237","TC030173"
"238","TC030174"
"239","TC030175"
"240","TC030176"
"241","TC030177"
"242","TC030188"
"243","TC030246"
"244","TC031155"
"245","TC032787"
"246","TC033513"
"247","TC034138"
"248","TC035046"
"249","TC000732"
"250","TC000841"
"251","TC001271"
"252","TC001272"
"253","TC001273"
"254","TC001275"
"255","TC001313"
"256","TC001314"
"257","TC001315"
"258","TC003052"
"259","TC003080"
"260","TC003218"
"261","TC003219"
"262","TC003598"
"263","TC004944"
"264","TC005677"
"265","TC006448"
"266","TC006449"
"267","TC008579"
"268","TC011306"
"269","TC011307"
"270","TC011420"
"271","TC015463"
"272","TC030303"
"273","TC030304"
"274","TC030306"
"275","TC030311"
"276","TC030314"
"277","TC030315"
"278","TC030317"
"279","TC030318"
"280","TC030319"
"281","TC030320"
"282","TC031406"
"283","TC032070"
"284","TC032072"
"285","TC032073"
"286","TC032074"
"287","TC032075"
"288","TC032272"
"289","TC032283"
"290","TC032357"
"291","TC032932"
"292","TC034088"
"293","TC034089"
"294","TC034433"
"295","TC034552"
"296","TC003166"
"297","TC004874"
"298","TC004875"
"299","TC005095"
"300","TC005189"
"301","TC006427"
"302","TC007581"
"303","TC007582"
"304","TC011431"
"305","TC013447"
"306","TC030404"
"307","TC030405"
"308","TC030407"
"309","TC030408"
"310","TC030409"
"311","TC030410"
"312","TC030411"
"313","TC030412"
"314","TC030413"
"315","TC030414"
"316","TC030415"
"317","TC030416"
"318","TC030419"
"319","TC030420"
"320","TC030421"
"321","TC030424"
"322","TC030425"
"323","TC030430"
"324","TC030434"
"325","TC030435"
"326","TC030436"
"327","TC030437"
"328","TC030438"
"329","TC030439"
"330","TC030440"
"331","TC030441"
"332","TC031305"
"333","TC031334"
"334","TC031336"
"335","TC032510"
"336","TC032778"
"337","TC032779"
"338","TC032780"
"339","TC033153"
"340","TC033494"
"341","TC034477"
"342","TC000005"
"343","TC000006"
"344","TC000007"
"345","TC001785"
"346","TC001915"
"347","TC001924"
"348","TC001948"
"349","TC002152"
"350","TC002153"
"351","TC002198"
"352","TC002225"
"353","TC002257"
"354","TC002286"
"355","TC002765"
"356","TC003422"
"357","TC003703"
"358","TC004054"
"359","TC004173"
"360","TC004247"
"361","TC004250"
"362","TC004307"
"363","TC005051"
"364","TC005110"
"365","TC005259"
"366","TC005280"
"367","TC006073"
"368","TC006137"
"369","TC006883"
"370","TC006997"
"371","TC007025"
"372","TC008510"
"373","TC009409"
"374","TC011490"
"375","TC011497"
"376","TC011576"
"377","TC012912"
"378","TC012948"
"379","TC012954"
"380","TC012988"
"381","TC016024"
"382","TC016095"
"383","TC016145"
"384","TC016236"
"385","TC032486"
"386","TC033485"
"387","TC000856"
"388","TC004818"
"389","TC007310"
"390","TC007311"
"391","TC007315"
"392","TC007316"
"393","TC007317"
"394","TC007320"
"395","TC007321"
"396","TC007322"
"397","TC010237"
"398","TC010238"
"399","TC010239"
"400","TC010244"
"401","TC010245"
"402","TC010251"
"403","TC010252"
"404","TC010253"
"405","TC010254"
"406","TC010255"
"407","TC010955"
"408","TC013433"
"409","TC014346"
"410","TC014361"
"411","TC015102"
"412","TC015103"
"413","TC015160"
"414","TC015546"
"415","TC015553"
"416","TC030961"
"417","TC031205"
"418","TC031413"
"419","TC031414"
"420","TC031667"
"421","TC031668"
"422","TC032503"
"423","TC032504"
"424","TC032833"
"425","TC033142"
"426","TC033365"
"427","TC033366"
"428","TC000004"
"429","TC000146"
"430","TC001838"
"431","TC002041"
"432","TC002178"
"433","TC002275"
"434","TC002325"
"435","TC002454"
"436","TC004189"
"437","TC004576"
"438","TC005248"
"439","TC006136"
"440","TC006925"
"441","TC006932"
"442","TC009407"
"443","TC010297"
"444","TC010310"
"445","TC010710"
"446","TC010711"
"447","TC010712"
"448","TC010713"
"449","TC010714"
"450","TC010973"
"451","TC011487"
"452","TC011578"
"453","TC014833"
"454","TC016139"
"455","TC016140"
"456","TC016155"
"457","TC016180"
"458","TC031484"
"459","TC031584"
"460","TC031588"
"461","TC033491"
"462","TC033885"
"463","TC033916"
"464","TC008570"
"465","TC009891"
"466","TC009892"
"467","TC010434"
"468","TC010962"
"469","TC011800"
"470","TC013749"
"471","TC013750"
"472","TC013751"
"473","TC013752"
"474","TC014089"
"475","TC014090"
"476","TC014091"
"477","TC014092"
"478","TC014379"
